2020-03-20T03:58:21.970
r;6;Moscow;30.0;40;50;60;70;80;90;da;kl;TRUST;KILOGRAMS;2007-12-03T10:15:35;155.0
q;3;Moscow;30.0;40;50;60;70;80;90;ab;km;TRUST;KILOGRAMS;2007-12-03T10:15:32;152.0
p;11;Moscow;31.0;40;50;60;70;80;90;dv;gy;TRUST;KILOGRAMS;2007-12-03T10:15:40;160.0
o;10;Moscow;30.0;40;50;60;70;80;90;dz;gt;TRUST;KILOGRAMS;2007-12-03T10:15:39;159.0
uno;2;Moscow;30.0;40;50;60;70;80;90;a;b;TRUST;KILOGRAMS;2007-12-03T10:15:31;151.0
i;9;Moscow;30.0;40;50;60;70;80;90;dx;gr;TRUST;KILOGRAMS;2007-12-03T10:15:38;158.0
an;1;Konoha;3.0;4;5;6;7;8;9;Sasuke;Akatsuki;TRUST;KILOGRAMS;2007-12-03T10:15:30;15.0
f;14;Moscow;29.0;40;50;60;70;80;90;de;gh;TRUST;KILOGRAMS;2007-12-03T10:15:43;163.0
sec;2;Piter;30.0;40;50;60;70;80;90;100;110;TRUST;KILOGRAMS;2007-12-03T10:15:30;150.0
e;5;Moscow;30.0;40;50;60;70;80;90;asa;ko;TRUST;KILOGRAMS;2007-12-03T10:15:34;154.0
d;13;Moscow;30.0;40;50;60;70;80;90;dr;gb;TRUST;KILOGRAMS;2007-12-03T10:15:42;162.0
y;8;Moscow;30.0;40;50;60;70;80;90;dc;gd;TRUST;KILOGRAMS;2007-12-03T10:15:37;157.0
a;12;Moscow;30.0;40;50;60;70;80;90;df;gn;TRUST;KILOGRAMS;2007-12-03T10:15:41;161.0
w;4;Moscow;30.0;40;50;60;70;80;90;abc;kp;TRUST;KILOGRAMS;2007-12-03T10:15:33;153.0
t;7;Moscow;30.0;40;50;60;70;80;90;db;ki;TRUST;KILOGRAMS;2007-12-03T10:15:36;156.0
